Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
Aromatizante,Hogar,22,7798354180136,Unidad,2192,0,3600.0,,0,0,1,0,1,,0,,,,,
Esponja fibra ok,Cocina,23,7791625001420,Unidad,183.48,47.155,270.0,,0,0,0,0,0,,2,,,,,
Escobilla de baño con recipiente,Baño,24,7797160001017,Unidad,1594.23,0,2500.0,,0,0,1,0,1,,0,,,,,
Plumero poliester 20gr,Hogar,25,6985578503105,Unidad,1063.12,0,1520.0,,0,0,1,0,0,,0,,,,,
Mopa algodon MAKE ,Hogar,26,7798349550142|7798092965071,Unidad,1376.85,154.2034,3500.0,,0,0,0,0,1,,6,,,,,
Plumero nro 1,Hogar,R1046,,Unidad,2685.2,41.5165,3800.0,,0,0,0,0,0,,0,,,,,
Balde 10lts,Hogar,R513,,Unidad,1507,0,2510.0,,0,0,1,0,0,,0,,,,,
Canasto ropa corazon,Hogar,R110,,Unidad,3306.42,0,4720.0,,0,0,1,0,1,,0,,,,,
Cabo madera 130 cm,Escobas,R768,,Unidad,546.63,192.7026,1600.0,,0,0,0,0,1,,2,,,,,
Broche plastico x12,Hogar,27,7794867000015,Unidad,390.45,53.6688,600.0,,0,0,0,0,1,,3,,,,,
Combo trapeador plus,Hogar,R1286,7793071002457,Unidad,4960,202.4194,15000.0,,0,0,1,0,1,,0,,,,,
Pack 10 bolsas - 45x60cm,Hogar,28,754697461254|7790458656661,Unidad,228,338.5965,1000.0,,0,0,1,0,0,,0,,,,,
Escurridor para balde sina (repuesto azul),Hogar,29,,Unidad,574.75,0,830.0,,0,0,1,0,1,,8,,,,,
Balde de residuo vaiven 8lts,Hogar,30,7796119040084,Unidad,4541.25,43.1324,6500.0,,0,0,1,0,1,,2,,,,,
Balde de residuo tapa plana 12lts,Hogar,31,7794417222096,Unidad,2766.06,44.61,4000.0,,0,0,1,0,1,,0,,,,,
Rejilla amarillo multiuso 38x36cm,Cocina,32,,Unidad,214.885933014354,225.7542,700.0,,0,0,1,0,1,,14,,,,,
Rejilla algodón doble 37x30cm,Cocina,33,7794417223338,Unidad,150.04,0,300.0,,0,0,0,0,0,,0,,,,,
Trapo de piso  FIBRAN Clean,Hogar,34,7798136920998,Unidad,452.805,120.8456,1000.0,,0,0,1,0,1,,7,,,,,
Escobillon Coral 10cm,Escobas,35,7794417000359,Unidad,1355.2,0,2710.0,,0,0,1,0,1,,0,,,,,
Escobillon Ambar 8.5cm,Escobas,36,7794417000748,Unidad,2090.88,100.8724,4200.0,,0,0,0,0,1,,0,,,,,
Secador Sacchi 40cm,Secadores,37,7791624000028,Unidad,4980,50.6024,7500.0,,0,0,0,0,1,,6,,,,,
Secador negro sica 40cm,Secadores,38,7794417001141|7790925050008,Unidad,1237.83,142.3596,3000.0,,0,0,0,0,1,,12,,,,,
Secador negro sica 50cm,Secadores,39,7794417001172,Unidad,1833.15,99.1108,3650.0,,0,0,0,0,1,,0,,,,,
Secador negro sica 30cm,Secadores,40,7794417001110,Unidad,1121.67,100.5938,2250.0,,0,0,0,0,1,,0,,,,,
Sopapa goma negra,Hogar,41,7794417001202,Unidad,928.07,169.3762,2500.0,,0,0,0,0,1,,7,,,,,
Cabo sopapa madera,Hogar,42,,Unidad,350.9,0,500.0,,0,0,1,0,1,,0,,,,,
Pala plastico,Hogar,43,7794417221846,Unidad,494.89,0,900.0,,0,0,1,0,1,,3,,,,,
Lampazo mediano (cera),Hogar,44,7794417000519,Unidad,1812.58,0,2500.0,,0,0,1,0,1,,6,,,,,
Trapo soft sina blanco,Hogar,112,7794417222584,Unidad,453.75,208.5399,1400.0,,0,0,1,0,1,,6,,,,,
Creolina base Gasoil,Hogar,113,2509041113482,Litro,0,0,7000.0,,0,0,0,0,1,,12.7,,,,,
Quitamanchas (Trenet),Hogar,114,2509032021178,Litro,0,0,1500.0,,0,0,0,0,1,,3.5,,,,,
Cif crema,Hogar,115,2509041109065,Litro,0,0,2000.0,,0,0,0,0,1,,38,,,,,
Maxi rollo cocina 200 paños,Cocina,116,764571804346,Unidad,0,0,1600.0,,0,0,0,0,0,,0,,,,,
Hiper rollo cocina x3 (360 paños),Cocina,117,723540586734,Unidad,0,0,3500.0,,0,0,0,0,0,,0,,,,,
Maxi rollo cocina x 8,Cocina,118,736684229078,Unidad,0,0,12950.0,,0,0,0,0,1,,-1,,,,,
Hiper rollo cocina x8,Cocina,119,736684228934,Unidad,0,0,14410.0,,0,0,0,0,1,,1,,,,,
Papel higienico individual x80 mts,Baño,120,736684228842,Unidad,0,0,850.0,,0,0,0,0,0,,0,,,,,
Papel higienico individual x50 mts,Baño,121,763571804162,Unidad,0,0,700.0,,0,0,0,0,0,,0,,,,,
Papel higienico x10u (300 mts),Baño,122,736684229023,Unidad,0,0,5500.0,,0,0,0,0,0,,0,,,,,
Papel higienico x10u (500 mts),Baño,123,736684229016,Unidad,0,0,8000.0,,0,0,0,0,0,,0,,,,,
Papel higienico x10u (700 mts),Baño,124,736684229009,Unidad,0,0,11000.0,,0,0,0,0,0,,0,,,,,
Papel higienico x10u (900 mts),Baño,125,736684229047,Unidad,0,0,12750.0,,0,0,0,0,0,,0,,,,,
Papel higienico 4x30mts,Baño,126,736684229054,Unidad,0,0,1500.0,,0,0,0,0,0,,0,,,,,
Envio,Extras,127,,,0,0,2000.0,,0,0,1,0,1,,959,,,,,
Desincrustante/quitasarro (Acido),Hogar,128,,Litro,908,153.304,2300.0,,0,0,0,0,1,,55,,0,0,1,20
Desengrasante Mr Musc (Naranja),Cocina,129,2509041321276,Litro,0,0,1500.0,,0,0,0,0,1,,19,,0,0,1,20
Cera incolora,Hogar,130,2509041121470,Litro,0,0,1800.0,,0,0,0,0,1,,68,,0,0,0,5
